Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.MySQL\Piranha.AspNetCore.Identity.MySQL.csproj,File,identity\Piranha.AspNetCore.Identity.MySQL\Piranha.AspNetCore.Identity.MySQL.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,identity\Piranha.AspNetCore.Identity.MySQL\Piranha.AspNetCore.Identity.MySQL.csproj,File,identity\Piranha.AspNetCore.Identity.MySQL\Piranha.AspNetCore.Identity.MySQL.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.PostgreSQL\Piranha.AspNetCore.Identity.PostgreSQL.csproj,File,identity\Piranha.AspNetCore.Identity.PostgreSQL\Piranha.AspNetCore.Identity.PostgreSQL.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,identity\Piranha.AspNetCore.Identity.PostgreSQL\Piranha.AspNetCore.Identity.PostgreSQL.csproj,File,identity\Piranha.AspNetCore.Identity.PostgreSQL\Piranha.AspNetCore.Identity.PostgreSQL.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,File,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,File,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,File,identity\Piranha.AspNetCore.Identity.SQLite\Piranha.AspNetCore.Identity.SQLite.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,File,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,,,Microsoft.AspNetCore.Identity.EntityFrameworkCore 8.0.0,,,,,"Microsoft.AspNetCore.Identity.EntityFrameworkCore, 8.0.0  Recommendation:  Remove Microsoft.AspNetCore.Identity.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Identity.EntityFrameworkCore 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,File,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.0,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,File,identity\Piranha.AspNetCore.Identity.SQLServer\Piranha.AspNetCore.Identity.SQLServer.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
